,age,job,marital,education,default,balance,housing,loan
34820,52,7,0,1,0,238,1,0
7416,55,5,0,0,0,53,1,0
13609,36,4,1,2,0,6404,1,1
14946,55,0,1,1,0,-480,0,0
23533,55,3,1,0,0,1233,0,0
32380,42,1,1,3,0,1154,1,0
25362,49,6,2,2,0,-341,0,1
20604,60,5,1,2,0,1141,0,0
39540,30,9,1,2,0,1570,1,0
18186,45,4,1,2,0,81,0,1
5751,33,1,0,0,0,-53,1,0
29420,33,4,1,2,0,644,1,1
5504,34,9,1,3,0,4053,1,0
37496,33,1,1,0,0,142,1,0
27494,39,6,1,1,0,254,0,0
37133,28,0,0,1,0,451,1,0
34184,37,4,2,2,0,3141,0,0
2355,24,0,2,1,0,845,1,0
30256,29,1,0,1,0,302,1,0
6842,50,6,0,2,0,59,1,0
21596,36,9,1,1,0,632,1,0
6890,43,4,1,1,0,373,1,0
2621,32,1,2,1,0,1940,1,1
15417,37,3,1,1,1,-205,0,1
19078,34,1,2,2,0,42,0,0
12319,32,0,1,1,0,159,0,1
8683,25,4,2,2,0,2399,1,0
1481,30,1,1,1,0,2850,0,0
24030,38,6,1,2,0,0,0,0
11015,28,1,1,0,0,0,1,1
22527,39,4,1,2,0,0,0,0
23582,50,1,1,1,0,6288,0,0
3128,36,0,1,1,0,402,1,0
4454,35,0,1,1,0,3187,1,0
30314,33,1,2,1,0,1387,0,0
38326,46,1,1,0,0,1085,1,1
23596,35,9,0,1,0,89,0,0
41195,50,4,1,2,0,24,0,0
33968,35,4,1,2,0,193,1,0
13899,57,0,1,1,0,2,0,0
33020,42,1,1,0,0,1673,1,0
1891,43,4,1,1,0,3,1,0
38507,31,0,2,1,0,-1,1,0
43270,58,4,1,2,0,1016,0,0
36747,37,7,1,1,0,42,1,0
25257,38,0,1,2,0,605,0,0
45011,59,9,1,1,0,1,0,0
30428,31,0,2,2,0,541,0,0
4457,34,7,1,0,0,1042,1,0
14974,29,0,2,1,0,454,0,0
41002,27,0,2,1,0,4590,1,0
44944,24,9,2,2,0,368,0,0
29084,46,2,1,0,0,0,0,0
24071,28,8,2,1,0,2351,0,0
3987,44,1,1,0,0,195,1,0
26987,31,1,2,1,0,23,0,0
40390,44,9,1,1,0,584,0,0
40517,25,7,0,1,0,1694,0,0
24442,35,4,1,2,0,209,1,0
23697,44,4,1,2,0,0,0,0
199,61,1,0,0,0,1428,1,0
19972,52,7,1,0,0,1625,0,0
28827,51,0,1,1,0,0,1,1
2659,31,1,1,1,0,822,1,0
41846,69,5,1,1,0,0,0,0
40521,31,4,2,1,0,202,1,0
15959,37,0,1,1,0,0,1,0
9132,32,1,2,1,0,226,1,0
29787,32,10,2,2,0,1974,0,0
16980,37,4,1,2,0,287,1,0
10449,39,7,1,1,0,150,0,0
43831,28,8,2,2,0,118,0,0
5882,34,9,0,1,0,27,1,0
15566,25,1,2,0,0,15,0,0
5834,47,9,0,1,0,1573,1,0
42537,34,0,2,1,0,303,0,0
24418,46,9,1,1,0,0,1,0
10696,53,7,2,1,0,725,1,0
2883,47,1,1,0,0,2,1,1
17645,47,1,1,1,0,310,1,0
10801,37,9,2,1,0,984,0,0
957,57,5,1,1,0,502,1,0
37529,42,7,0,1,0,83,0,0
13728,52,2,1,0,0,-104,0,1
22716,30,9,2,1,0,175,0,0
34150,61,5,0,1,0,927,0,0
6062,30,1,2,1,0,3532,1,0
42501,43,10,1,1,0,775,0,0
30762,35,1,2,1,0,2158,1,0
38126,42,1,1,1,0,680,1,0
22712,33,4,2,2,0,-2,0,1
29178,39,4,2,2,0,-145,1,0
36998,38,9,2,2,0,876,1,0
7271,35,9,1,1,0,295,1,0
44068,32,6,2,2,0,4024,1,0
36995,50,3,1,1,0,3016,1,0
34399,28,1,2,1,0,4229,1,1
27287,35,9,2,1,0,391,0,0
15857,55,1,0,3,0,103,1,0
23471,34,6,1,2,0,0,0,0
19110,53,9,1,1,0,879,0,0
33216,24,9,2,1,0,393,1,1
37570,49,7,1,2,0,411,0,0
5264,35,1,2,0,0,90,1,0
17232,40,7,0,1,0,9,0,0
13205,52,1,2,1,0,288,1,0
18096,53,9,1,1,0,6671,1,1
12747,47,11,0,0,0,0,0,0
1842,31,1,1,1,0,1329,1,1
18604,41,0,0,2,0,861,1,0
18935,52,1,1,0,0,1054,0,0
13070,34,6,1,2,0,191,0,0
42547,30,1,1,0,0,5,0,0
37874,30,7,1,1,0,1222,1,0
12756,27,7,2,1,0,266,0,1
42199,52,10,1,1,0,94,0,0
40911,57,4,1,1,0,7633,0,0
39150,32,1,1,1,0,-39,1,0
3798,45,1,1,1,0,-1400,1,0
15262,34,7,1,1,0,0,1,0
28396,33,4,2,2,0,1590,0,0
42842,53,0,2,1,0,2398,1,0
6667,27,0,2,1,0,110,1,0
8755,29,7,2,1,0,-271,1,0
8500,32,4,0,1,0,-107,1,0
16525,30,6,1,3,0,1712,0,0
20878,34,9,2,1,0,16,0,0
40597,61,1,1,0,0,7879,0,0
4506,37,1,1,0,0,2240,1,0
19739,33,9,1,1,0,6419,0,0
10701,37,0,1,2,0,2741,0,0
8682,32,4,2,2,0,131,0,0
13708,49,2,1,1,0,-1965,0,1
5984,48,1,1,1,0,2697,1,1
24019,53,10,1,2,0,240,0,0
11337,36,1,1,0,0,946,1,0
1509,32,1,1,1,0,491,1,0
18629,40,4,2,2,0,0,0,0
11822,28,7,1,1,0,-494,1,0
10556,59,1,1,1,0,969,0,0
32801,37,0,2,2,0,3954,1,0
2074,49,9,1,1,0,4785,0,0
44843,44,4,0,2,0,2367,0,0
26999,32,10,2,1,0,2706,0,0
3663,39,1,1,0,0,186,1,0
26871,45,2,1,2,0,1752,1,1
21719,32,9,1,1,0,0,0,0
24343,34,3,1,2,0,1265,1,0
43806,54,5,1,1,0,3538,0,0
28211,53,5,1,2,0,1770,0,0
24461,41,9,1,1,0,112,1,0
35649,41,1,1,1,0,2039,1,0
20946,52,9,0,1,0,-558,0,0
32445,42,0,1,1,0,12,1,0
40483,33,4,2,2,0,1160,1,1
25427,47,0,1,1,0,79,0,1
16444,48,9,2,1,0,329,0,0
10812,57,5,1,0,0,7938,0,0
25444,48,4,1,2,0,571,1,1
27210,37,9,1,1,0,77,1,1
39698,43,4,1,2,0,1336,1,1
200,47,0,1,1,0,219,1,0
36752,47,7,1,1,0,367,1,0
24514,54,4,1,2,0,-1415,1,1
7949,32,0,0,1,0,-417,0,0
6027,45,1,1,1,0,-376,1,0
43918,30,0,1,1,0,166,0,0
28883,44,4,2,2,0,780,1,0
22004,33,4,0,1,0,106,0,0
11396,39,7,1,2,0,16,0,0
20913,47,7,1,0,0,1803,1,1
13269,45,9,1,1,0,1477,1,0
8273,32,1,2,1,0,-691,1,1
26961,47,9,1,1,0,0,0,0
34905,33,0,1,1,0,680,1,0
16007,48,3,1,0,0,380,1,0
22641,34,4,2,2,0,0,0,0
42175,60,6,1,2,0,10861,0,0
33427,35,7,1,1,0,2179,0,0
27499,45,4,2,2,0,207,0,0
13514,29,0,0,2,1,0,0,1
40409,40,4,1,2,0,-63,0,1
29484,43,1,0,0,0,177,0,0
38465,39,1,1,0,0,2288,1,0
29191,46,7,0,3,0,973,0,0
11583,38,6,0,1,0,2674,1,0
12670,37,1,1,0,0,380,1,1
29076,37,7,2,1,0,174,1,0
39211,49,4,1,2,0,3063,1,0
33751,75,5,1,2,0,2991,0,0
3108,43,1,1,0,0,-101,1,0
44140,36,4,1,2,0,93,0,0
24801,58,4,1,2,0,9339,1,0
7881,27,4,2,2,0,2061,1,0
20713,46,4,1,2,0,3984,0,0
20420,56,5,1,1,0,-113,1,1
34000,53,0,0,1,0,0,1,1
31663,59,7,1,0,0,1562,1,0
34714,29,10,2,2,0,150,1,0
17188,30,7,1,0,0,997,1,0
14206,25,0,2,1,0,184,0,1
20010,48,1,1,1,0,2083,0,0
34379,27,4,2,2,0,88,0,0
2672,44,6,1,1,0,264,1,0
34815,44,4,2,2,0,3,1,0
29298,53,4,1,2,0,1759,0,0
14095,57,5,1,1,0,8,0,0
17799,28,7,1,2,0,599,1,0
23655,35,9,1,2,0,75,0,0
31025,36,6,1,2,0,2012,0,0
6593,37,0,2,1,0,1066,1,0
14512,37,9,1,1,0,0,1,1
26071,34,7,1,1,0,2048,1,0
21555,52,5,1,1,0,2122,0,1
34503,23,1,2,1,0,336,1,0
36637,46,0,1,1,0,38,1,1
25672,51,2,1,1,0,5403,1,0
6668,37,9,2,1,0,779,1,0
41515,71,5,1,2,0,14220,1,0
35448,31,4,2,2,0,0,1,0
17294,36,1,1,0,0,656,1,0
23977,48,1,1,1,0,1903,0,0
30824,47,4,1,0,0,1675,1,0
29980,39,10,1,0,0,590,1,0
42192,61,5,1,2,0,2557,1,0
4746,50,1,1,0,0,2610,1,1
30993,32,1,2,2,0,358,0,0
13421,57,1,1,1,0,0,0,1
9853,36,9,1,1,0,26,0,0
38430,29,1,1,1,0,339,1,0
23103,31,4,2,2,0,0,0,0
35209,34,4,2,2,0,2607,0,0
18342,55,3,0,3,0,603,0,0
31910,30,1,1,1,0,177,1,0
23817,40,4,1,2,0,194,0,1
20168,33,4,1,2,0,644,0,0
23978,38,4,1,2,0,46,0,0
12367,57,5,1,1,0,-418,0,1
5983,46,4,2,2,0,479,1,0
13420,41,4,1,2,0,0,0,1
19649,31,9,2,1,0,754,0,0
26012,50,4,1,2,0,1597,0,0
31362,27,8,2,1,0,672,0,0
11035,59,2,0,3,0,0,0,0
38516,37,0,2,1,0,309,1,0
30576,34,7,2,1,0,1758,1,0
34624,35,2,1,2,0,0,0,0
34110,58,5,1,1,0,919,1,1
37114,55,1,1,0,0,-636,1,0
18853,35,9,2,2,0,211,0,0
39272,33,6,2,1,0,136,1,0
16466,41,4,0,2,0,846,0,1
13721,35,1,1,1,0,1330,0,0
6151,39,3,1,0,0,-44,1,0
40994,42,4,2,2,0,3371,1,1
1408,38,9,1,3,0,90,1,1
15901,55,9,1,0,0,284,0,0
22711,52,4,2,2,0,597,0,0
7671,53,9,0,0,0,7290,1,0
17720,42,2,1,2,0,859,0,0
44494,40,1,1,1,0,1515,1,0
39383,55,4,1,3,0,1504,1,0
17680,58,5,0,1,0,19,0,0
24679,54,9,1,3,0,1162,0,0
22423,40,6,1,1,0,0,0,0
1230,48,9,0,1,0,177,1,0
44201,35,7,1,1,0,2918,0,1
3846,23,7,2,1,0,91,1,0
17193,31,4,1,2,0,0,1,1
455,44,1,1,1,0,274,1,1
23314,31,6,2,2,0,1788,0,0
6095,43,0,1,1,0,429,1,0
130,55,4,1,3,0,1185,0,0
13244,55,10,1,0,0,1221,0,1
3640,45,0,1,1,0,805,1,0
21340,54,1,1,0,0,0,0,0
14648,32,4,0,2,0,222,0,1
19638,40,9,1,1,0,192,0,0
36122,36,1,1,1,0,-461,0,0
6496,37,7,1,1,0,-349,1,0
27484,37,7,2,1,0,105,0,1
24959,47,0,1,1,0,829,1,1
6047,28,7,2,1,0,-358,1,0
41731,26,6,2,2,0,993,0,0
23933,39,9,0,1,0,8,0,0
15614,42,1,1,1,0,156,0,0
14541,31,1,1,1,0,-84,0,1
20907,43,9,1,2,0,1201,1,1
27654,59,4,1,2,0,20798,1,0
30355,42,7,1,1,0,-91,1,1
31590,37,7,1,1,0,749,1,0
3708,31,6,2,2,0,144,1,0
12100,26,8,2,1,0,715,1,0
26962,39,0,2,1,0,2263,1,1
39167,38,0,2,1,0,1560,1,0
4913,37,7,1,1,1,-954,1,0
11655,56,4,0,2,1,-1968,0,0
22595,46,3,1,0,0,304,0,0
38592,34,10,1,1,0,-16,1,0
27566,30,1,2,1,0,2380,0,0
20573,54,9,1,1,0,658,0,0
10639,53,1,1,0,0,4641,0,0
31807,32,4,2,2,0,1781,0,0
15209,36,4,0,2,0,210,1,0
36953,42,1,1,0,0,159,1,0
28288,46,0,0,1,0,660,1,0
1674,43,1,2,1,0,3,1,0
4347,44,6,2,2,0,149,1,0
5604,50,2,1,2,0,1605,1,0
20863,41,9,0,1,0,258,0,0
10628,46,1,1,2,0,993,1,0
5100,34,1,2,1,0,89,1,1
1645,32,1,1,1,0,687,1,0
32469,39,1,1,1,0,180,1,0
2528,53,5,1,1,0,-27,0,0
9375,58,11,1,2,0,4150,0,0
18422,48,3,1,1,0,1397,0,0
17057,35,0,1,1,0,786,0,1
16733,25,9,2,1,0,4718,0,0
18663,39,4,2,2,0,572,1,0
13722,29,4,1,2,0,55,1,0
21363,32,9,0,2,0,3628,0,0
8208,39,0,2,1,0,2040,1,0
8433,38,9,2,1,0,12926,1,0
22804,33,9,1,1,0,0,0,0
40104,30,0,1,1,0,779,1,0
13763,31,3,1,1,0,12,1,0
18637,25,7,1,1,0,0,1,0
27600,44,3,1,0,0,2388,0,0
12719,38,4,1,2,0,1444,1,0
43914,28,10,2,1,0,304,0,0
39506,37,6,1,2,0,2211,1,0
43047,23,8,2,1,0,1234,0,0
28000,30,4,2,2,0,140,0,0
19488,31,9,1,1,0,54,0,0
38753,28,1,2,1,0,171,1,0
22053,59,2,1,2,0,-23,0,1
18334,40,2,0,2,0,992,1,0
15056,30,4,2,2,0,4,1,0
4041,48,4,1,3,0,54,1,0
10388,49,1,1,0,0,937,1,0
20329,31,1,1,1,0,-204,1,1
37308,32,7,1,1,0,1670,0,0
21406,39,4,1,2,0,2226,1,0
35432,23,9,2,3,0,231,1,0
1079,43,9,1,2,0,743,1,0
3771,39,1,1,0,0,385,1,0
15218,45,7,1,1,0,307,0,1
27561,33,9,0,1,0,558,1,0
8321,48,1,1,0,0,235,1,0
33547,28,9,1,2,0,161,1,0
24508,54,9,1,1,0,899,0,1
42860,45,0,1,1,0,205,0,0
40361,32,2,1,0,0,3083,0,0
18331,53,2,1,3,0,28,0,0
28340,27,1,2,0,0,1209,0,0
13164,28,1,2,1,0,517,0,1
29739,30,8,2,1,0,96,0,0
18353,35,9,1,2,0,108,1,0
35186,37,6,2,2,0,2441,1,1
32914,32,1,1,0,0,-56,1,1
27240,35,4,1,2,0,365,0,0
42210,49,4,1,0,0,3371,0,0
26894,30,0,1,1,0,35,1,1
16861,56,4,0,2,0,55,0,1
2935,56,1,1,1,0,1412,1,0
40228,42,7,1,2,0,4216,0,0
18211,39,9,1,2,0,-1099,1,0
30677,40,0,2,1,0,0,0,0
9414,35,6,1,1,0,116,0,0
26690,44,1,1,1,0,1397,0,0
5103,33,1,1,1,0,263,1,0
21683,50,0,1,1,0,-1415,0,0
29354,53,1,0,0,0,-1,1,0
26109,56,0,1,3,0,1933,0,0
42026,74,5,1,2,0,1742,0,0
9385,56,4,1,2,0,3039,0,0
44217,30,4,2,2,0,1268,0,0
25530,40,4,1,2,0,12409,1,0
15492,60,9,1,1,0,851,0,1
27567,46,4,1,1,0,149,0,0
1467,57,1,0,0,0,-176,1,0
11305,37,7,0,0,0,0,1,0
28882,27,4,2,2,0,0,1,0
10598,60,4,1,0,0,21292,0,0
2807,44,7,2,1,0,0,1,0
32495,53,1,1,0,0,1794,1,0
26543,35,1,2,0,0,258,1,0
38400,29,1,2,0,0,722,1,0
25007,57,1,1,1,0,649,1,0
34521,29,1,2,1,0,-16,1,1
32104,35,0,1,1,0,5250,1,0
24506,42,10,1,3,0,970,1,0
5923,56,5,1,1,0,74,1,0
38707,47,7,1,1,0,223,0,0
4536,33,4,2,0,0,4897,1,0
8507,31,0,2,1,0,2104,1,0
41747,60,0,0,1,0,12039,0,0
10448,50,9,1,1,0,1765,1,0
44851,60,0,1,1,0,3735,0,0
11290,40,9,1,2,0,4396,0,0
29709,26,4,2,2,0,1837,0,0
13687,38,1,0,1,0,-2093,1,1
8048,38,1,1,0,0,451,1,0
16866,47,4,1,2,0,19,0,0
43126,60,0,1,1,0,106,0,0
17483,25,9,2,1,0,218,1,1
30281,34,7,1,1,0,87,0,0
11749,43,4,2,0,0,0,0,0
1163,32,0,2,1,0,89,1,1
2066,54,0,1,1,0,42,1,0
16839,41,2,1,2,0,0,1,0
45188,29,4,2,1,0,703,1,0
41441,62,3,1,1,0,565,0,0
17258,53,0,1,1,0,673,0,1
27219,31,1,1,1,0,3653,1,1
38341,24,1,2,1,0,3,1,0
22084,35,4,1,2,0,109,0,1
20706,52,3,1,0,0,200,0,0
44548,31,4,1,2,0,6980,0,0
34468,37,7,1,1,0,4430,1,0
41735,61,3,1,2,0,1389,0,0
525,43,1,1,1,0,1335,1,0
44982,46,0,1,1,0,171,1,1
865,35,9,1,1,0,118,1,0
42638,32,4,2,2,0,1962,0,0
30816,31,0,2,1,0,476,0,0
1419,32,1,1,1,0,214,1,0
10847,47,1,1,0,0,145,0,0
21347,33,4,2,2,0,134,0,0
37178,39,4,1,2,0,141,1,0
8729,41,9,2,3,0,454,1,0
16293,46,1,1,3,0,55,0,0
35256,31,1,2,3,0,461,1,0
39914,24,8,2,1,0,228,0,0
884,37,4,2,2,1,45,1,0
29195,44,4,1,1,0,991,0,0
19918,45,4,1,2,0,4877,1,0
17313,43,3,1,1,0,150,0,0
25262,37,9,1,1,0,712,1,0
15562,49,5,1,0,0,375,0,1
3072,41,1,1,0,0,348,1,0
24614,43,1,1,1,0,-210,1,0
22852,31,4,1,2,0,29230,0,0
40809,60,5,1,1,0,1853,0,0
23113,39,4,2,2,0,1092,0,0
22110,46,4,1,2,1,-337,0,1
20209,43,9,0,1,0,1532,0,0
27149,54,9,1,1,0,230,0,1
26713,54,4,1,2,0,1502,0,0
17587,50,10,1,1,0,1772,0,0
10861,37,6,2,2,0,1116,0,0
3386,47,1,1,1,0,39,1,0
40351,23,8,2,1,0,1021,0,0
2518,56,5,1,1,0,296,1,0
29447,54,5,1,0,0,117,0,0
32835,38,1,2,0,0,0,1,0
20171,34,4,1,2,0,5665,0,0
16285,36,6,1,2,0,328,1,1
12128,58,1,1,3,0,703,0,0
17722,52,0,2,1,0,2332,0,0
3617,32,0,2,1,0,289,0,0
17062,25,1,1,1,0,-102,0,0
39355,38,9,1,1,0,976,1,0
6885,31,0,1,3,1,-310,1,0
36885,49,7,1,1,0,-301,1,0
7569,38,4,0,2,0,4425,1,0
20854,33,4,0,2,0,0,0,0
5553,32,9,1,1,0,1247,1,0
32250,23,1,1,0,0,1158,1,0
24625,47,4,1,1,0,0,1,1
38008,44,9,1,1,0,736,1,0
14430,33,7,1,0,0,908,1,1
55,38,2,2,2,0,243,0,1
22192,55,1,1,0,0,400,0,0
39848,34,4,0,2,0,2466,0,0
20670,36,4,1,2,0,0,0,0
33435,43,1,1,0,0,1892,1,0
15137,29,1,2,1,0,-61,0,0
13082,34,3,1,1,0,-97,1,1
2340,37,1,0,1,0,178,1,0
33328,35,1,1,1,0,94,1,0
41373,23,8,2,1,0,922,0,0
40217,50,10,1,1,0,3357,0,0
24937,41,4,2,2,0,275,1,0
42742,38,1,2,1,0,0,0,0
34306,56,6,1,2,0,349,1,0
39596,52,9,1,1,0,195,1,0
34151,32,4,2,2,0,0,1,0
24811,41,9,1,1,0,476,1,1
40618,47,9,1,1,0,1167,1,0
14062,26,0,2,0,0,528,1,1
28318,42,7,1,1,0,1152,1,0
37272,31,0,1,1,0,879,1,0
13158,31,6,1,1,0,731,0,1
23943,46,4,0,2,0,0,0,1
25955,55,10,1,1,0,4733,1,0
5816,59,5,0,1,0,93,0,0
43570,30,4,2,2,0,697,0,0
