"","x"
"225",0
"226",4
"227",4
"228",0
"229",1
"230",1
"231",1
"232",0
"233",0
"234",1
"235",0
"236",0
"237",4
"238",1
"239",1
"240",4
"241",0
"242",4
"243",1
"244",4
"245",4
"246",0
"247",0
"248",0
"249",0
"250",0
"251",1
"252",0
"253",0
"254",4
"255",0
"256",4
"257",1
"258",0
"259",4
"260",1
"261",4
"262",1
"263",1
"264",4
"265",1
"266",0
"267",0
"268",0
"269",4
"270",1
"271",4
"272",1
"273",0
"274",0
"275",4
"276",1
"277",1
"278",1
"279",0
"280",0
"281",1
"282",0
"283",0
"284",0
"285",1
"286",0
"287",0
"288",0
"289",0
"290",0
"291",1
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",1
"299",0
"300",4
"301",0
"302",0
"303",0
"304",1
"305",0
"306",0
"307",0
"308",1
"309",4
"310",1
"311",1
"312",4
"313",4
"314",0
"315",4
"316",0
"317",4
"318",4
"319",1
"320",0
"321",1
"322",4
"323",4
"324",1
"325",0
"326",0
"327",1
"328",0
"329",1
"330",4
"331",0
"332",1
"333",4
"334",4
"335",0
"336",4
"337",4
"338",1
"339",4
"340",0
"341",4
"342",1
"343",1
"344",1
"345",1
"346",4
"347",4
"348",4
"349",4
"350",0
"351",1
"352",4
"353",4
"354",4
"355",4
"356",4
"357",4
"358",0
"359",0
"360",4
"361",4
"362",0
"363",4
"364",0
"365",0
"366",0
"367",4
"368",4
"369",1
"370",0
"371",1
"372",0
"373",0
"374",0
"375",4
"376",0
"377",0
"378",4
"379",1
"380",0
"381",1
"382",0
"383",4
"384",0
"385",1
"386",1
"387",1
"388",4
"389",4
"390",4
"391",0
"392",0
"393",1
"394",4
"395",1
"396",1
"397",0
"398",0
"399",4
"400",0
"401",0
"402",0
"403",1
"404",4
"405",4
"406",1
"407",0
"408",0
"409",1
"410",4
"411",4
"412",0
"413",0
"414",4
"415",0
"416",0
"417",1
"418",0
"419",1
"420",1
"421",0
"422",1
"423",0
"424",0
"425",0
"426",4
"427",0
"428",4
"429",0
"430",1
"431",0
"432",0
"433",4
"434",4
"435",0
"436",0
"437",4
"438",0
"439",0
"440",0
"441",1
"442",1
"443",1
"444",1
"445",0
"446",0
"447",4
"448",0
"449",1
"450",0
"451",4
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",4
"459",0
"460",1
"461",4
"462",0
"463",0
"464",0
"465",0
"466",4
"467",0
"468",0
"469",4
"470",1
"471",1
"472",1
"473",4
"474",1
"475",0
"476",1
"477",0
"478",0
"479",0
"480",0
"481",0
"482",1
"483",1
"484",1
"485",0
"486",1
"487",0
"488",1
"489",0
"490",0
"491",0
"492",1
"493",1
"494",4
"495",0
"496",0
"497",1
"498",1
"499",4
"500",1
"501",4
"502",4
"503",1
"504",0
"505",1
"506",0
"507",4
"508",1
"509",1
"510",4
"511",4
"512",4
"513",1
"514",4
"515",1
"516",4
"517",0
"518",0
"519",4
"520",4
"521",4
"522",4
"523",0
"524",4
"525",0
"526",0
"527",4
"528",4
"529",0
"530",0
"531",4
"532",0
"533",1
"534",4
"535",1
"536",4
"537",4
"538",4
"539",4
"540",4
"541",4
"542",0
"543",4
"544",4
"545",1
"546",1
"547",4
"548",1
"549",0
"550",4
"551",4
"552",4
"553",1
"554",4
"555",4
"556",0
"557",4
"558",4
"559",4
"560",4
"561",1
"562",1
"563",4
"564",4
"565",0
"566",4
"567",4
"568",4
"569",0
"570",4
"571",4
"572",0
"573",4
"574",4
"575",0
"576",1
"577",4
"578",4
"579",0
"580",4
"581",0
"582",0
"583",0
"584",4
"585",1
"586",4
"587",1
"588",0
"589",0
"590",4
"591",4
"592",1
"593",0
"594",0
"595",0
"596",1
"597",4
"598",1
"599",0
"600",1
"601",0
"602",0
"603",0
"604",0
"605",0
"606",4
"607",0
"608",4
"609",1
"610",4
"611",1
"612",1
"613",4
"614",1
"615",4
"616",1
"617",1
"618",0
"619",4
"620",1
"621",1
"622",1
"623",1
"624",0
"625",4
"626",0
"627",4
"628",1
"629",1
"630",0
"631",1
"632",4
"633",1
"634",4
"635",1
"636",0
"637",1
"638",4
"639",4
"640",1
"641",1
"642",0
"643",1
"644",1
"645",1
"646",1
"647",1
"648",0
"649",0
"650",0
"651",0
"652",0
"653",1
"654",0
"655",0
"656",1
"657",0
"658",0
"659",0
"660",4
"661",0
"662",0
"663",0
"664",1
"665",4
"666",0
"667",0
"668",0
"669",1
"670",0
"671",0
"672",1
"673",0
"674",1
"675",0
"676",1
"677",0
"678",0
"679",1
"680",4
"681",4
"682",1
"683",0
"684",4
"685",1
"686",1
"687",1
"688",1
"689",0
"690",1
"691",0
"692",0
"693",1
"694",0
"695",1
"696",1
"697",1
"698",1
"699",0
"700",4
"701",1
"702",0
"703",0
"704",0
"705",0
"706",4
"707",1
"708",1
"709",0
"710",0
"711",1
"712",4
"713",1
"714",1
"715",1
"716",4
"717",1
"718",1
"719",1
"720",1
"721",1
"722",1
"723",0
"724",1
"725",4
"726",1
"727",0
"728",1
"729",1
"730",1
"731",4
"732",0
"733",4
"734",1
"735",4
"736",1
"737",0
"738",1
"739",0
"740",0
"741",4
"742",0
"743",1
"744",0
"745",4
"746",1
"747",1
"748",1
"749",1
"750",0
"751",1
"752",0
"753",1
"754",4
"755",0
"756",1
"757",0
"758",1
"759",1
"760",0
"761",4
"762",1
"763",1
"764",1
"765",0
"766",0
"767",4
"768",0
"769",0
"770",1
"771",0
"772",0
"773",4
"774",1
"775",1
"776",4
"777",4
"778",0
"779",1
"780",0
"781",1
"782",0
"783",1
"784",1
"785",1
"786",0
"787",0
"788",4
"789",0
"790",1
"791",0
"792",0
"793",1
"794",0
"795",1
"796",1
"797",0
"798",1
"799",0
"800",1
"801",1
"802",1
"803",4
"804",0
"805",0
"806",1
"807",1
"808",4
"809",0
"810",4
"811",0
"812",4
"813",0
"814",1
"815",1
"816",0
"817",0
"818",0
"819",0
"820",4
"821",4
"822",0
"823",1
