,age,job,marital,education,default,balance,housing,loan
12797,34,1,2,0,1,-2,0,1
35099,39,10,1,0,0,1147,1,1
9000,51,0,1,1,0,0,0,0
27852,48,9,1,1,0,0,0,0
35603,52,4,1,2,0,249,1,1
42811,26,9,2,2,0,1972,1,0
4361,47,1,1,3,0,-345,1,0
39439,43,0,2,1,0,733,1,0
22842,57,5,1,1,0,49,1,1
23319,36,4,1,2,0,0,0,0
934,54,1,1,1,0,-932,1,0
16655,27,9,0,1,0,162,1,0
24281,40,0,1,1,0,0,1,1
14107,29,1,1,0,0,243,0,1
27560,41,6,0,2,0,4418,1,0
6882,37,4,1,2,0,655,0,0
1781,29,4,2,2,0,726,1,0
33145,46,1,1,0,0,292,1,0
18073,53,2,1,2,0,1046,1,1
34022,33,4,2,2,0,1431,0,0
26217,50,2,1,2,0,8649,1,0
9346,54,2,1,1,0,2791,0,0
10668,59,7,1,0,0,31,0,0
40654,37,4,0,2,0,0,1,0
391,37,9,1,2,0,8730,1,0
10916,36,0,2,2,0,1568,0,0
40942,43,9,2,1,0,451,0,0
1477,33,9,1,3,0,0,0,0
44717,37,4,1,2,0,6771,0,0
40499,52,4,2,2,0,37,0,0
18548,32,7,2,1,0,0,1,0
42907,34,4,1,2,0,1778,0,0
25141,33,4,2,2,0,275,0,0
23160,37,4,2,2,0,0,0,0
17472,29,4,2,2,0,1895,0,0
7502,36,1,1,0,1,-1168,1,0
4323,44,9,1,0,0,177,1,0
5201,32,4,2,2,0,1169,1,0
27365,54,5,1,0,0,235,0,1
14404,29,1,1,1,0,-191,0,1
18325,31,0,1,1,0,377,0,0
16046,36,0,1,2,0,0,1,0
18482,49,4,0,1,0,4908,0,0
1197,51,4,1,0,1,57,1,1
1000,47,0,1,3,0,0,1,0
5092,27,1,2,1,0,-208,1,0
19826,36,4,1,2,0,369,0,0
28854,47,6,1,1,0,1803,0,0
7929,52,4,0,2,0,12,1,0
4014,53,9,0,1,0,751,1,0
2532,56,6,1,1,0,123,0,0
39156,40,0,0,1,0,220,1,0
26140,40,2,1,1,0,1349,0,0
7921,27,1,2,1,0,5563,1,0
35554,36,9,1,1,0,197,1,0
44882,39,0,1,2,0,1322,1,0
5576,38,9,2,1,0,372,0,0
18230,44,6,1,3,0,680,1,0
35029,37,7,1,0,1,-483,1,1
7194,38,9,2,1,0,2079,1,1
29865,75,5,0,0,0,3881,1,0
36650,43,1,1,0,0,-404,1,1
1718,22,8,2,1,0,2412,1,0
14890,31,0,0,1,0,1210,0,0
6135,32,1,1,1,0,-1500,1,0
29854,38,2,1,2,0,227,1,0
7030,30,1,1,1,0,1780,1,0
19754,31,2,2,1,0,37,0,0
29958,33,4,2,2,0,641,1,0
43084,53,4,1,2,0,597,0,0
3514,45,7,1,1,0,520,1,0
42540,54,4,0,2,0,12018,1,0
39013,42,4,1,3,0,933,0,0
4958,35,2,2,1,0,12961,1,0
16624,31,3,1,0,0,-184,1,0
41331,72,5,0,0,0,0,0,0
42933,67,5,0,1,0,704,0,0
16225,44,1,1,0,0,-89,0,1
38407,30,4,2,2,0,1692,1,0
37444,34,1,1,0,0,3,1,0
2649,36,1,0,1,0,719,1,0
27641,43,9,1,1,0,282,0,1
21868,31,9,1,1,0,141,0,0
28687,28,0,1,1,0,-247,1,1
38144,36,6,2,2,0,577,1,0
23891,34,9,1,1,1,91,0,0
11370,40,1,1,0,0,117,1,0
10257,36,1,1,0,0,272,0,0
35782,36,1,1,1,0,0,1,0
12480,31,0,2,1,0,43,0,0
17309,32,1,2,1,0,82,1,0
27943,53,9,1,2,0,476,1,0
31080,44,0,0,1,0,397,1,1
349,55,4,1,2,0,685,1,0
33355,50,4,1,2,0,1822,1,0
14591,30,2,1,0,0,2686,1,0
38550,38,9,1,2,0,432,1,0
121,51,1,1,1,0,26,1,0
8110,60,6,2,1,0,312,1,0
14665,31,10,1,1,0,31,1,0
23766,43,4,2,2,0,946,0,0
4317,22,1,2,1,0,3992,1,1
33567,48,10,1,1,0,3287,1,1
17718,59,4,1,2,0,1069,0,0
14242,25,7,2,1,0,-41,0,1
15257,29,10,1,1,0,-25,1,0
28326,56,4,2,2,0,545,1,0
793,31,1,2,1,0,53,1,0
4781,34,4,2,2,0,2015,0,0
9420,50,1,1,0,0,-294,1,0
27357,53,9,1,1,0,1835,1,0
41224,37,0,1,1,0,1314,1,0
819,30,9,2,2,0,3,1,0
8257,42,4,1,3,0,342,1,0
10284,39,4,1,3,0,4800,0,0
12508,50,7,1,0,0,-15,0,1
27040,40,10,1,1,0,1872,0,0
32308,30,0,1,0,0,9,1,1
25393,46,7,0,1,0,864,1,0
38781,49,1,1,0,0,490,1,0
30364,42,9,2,1,0,541,1,0
32364,36,9,2,1,0,2511,1,0
3118,54,1,1,1,0,1487,1,0
42521,50,4,1,2,0,5108,1,0
23916,49,9,1,1,0,10,0,0
33077,28,1,1,1,0,1843,1,0
44766,51,3,0,0,0,127,0,0
5998,49,9,1,1,0,-215,1,0
10442,48,4,0,2,0,503,0,1
34101,47,1,1,0,0,2749,1,0
26938,46,1,1,0,0,2023,1,0
4103,43,0,2,1,0,445,1,0
37504,47,1,1,3,0,878,1,0
23762,60,4,1,2,0,3029,0,0
37844,23,3,2,1,0,650,1,0
28637,26,1,2,1,0,249,1,0
15107,43,0,0,1,0,587,1,0
14636,44,0,0,1,0,4353,1,0
10124,45,4,1,2,0,409,0,0
4442,32,8,2,3,0,1583,1,0
19164,54,4,1,2,0,0,0,0
32685,29,9,2,1,0,205,1,0
41859,35,0,1,2,0,690,0,0
41897,31,10,2,1,0,8304,0,0
12928,31,4,1,2,0,-513,0,1
43399,60,1,1,0,0,7929,0,0
11672,60,5,1,2,0,2868,0,0
42738,35,9,1,1,0,746,0,1
20687,33,4,0,2,0,2695,1,0
23972,52,9,1,1,0,0,0,0
31193,28,9,2,1,0,1363,0,0
20769,37,4,1,2,0,4436,0,0
42486,41,6,2,2,0,10346,0,0
585,35,1,1,0,0,0,1,0
20528,45,1,1,0,0,1951,0,0
39305,32,0,2,2,0,902,1,0
28843,56,5,1,1,0,1454,0,0
27808,28,8,2,1,0,101,0,0
35064,55,0,1,1,0,6205,0,0
33642,29,1,1,1,0,3007,1,0
12301,58,1,0,1,0,314,0,0
11397,55,9,1,1,0,891,0,0
32266,31,7,0,1,0,81,1,0
27099,56,7,1,1,0,22196,1,0
19656,33,9,2,1,0,1500,0,0
23721,33,9,1,1,0,2,0,0
9616,48,0,0,1,0,2662,0,0
26575,57,7,1,1,0,1556,1,0
6747,50,1,1,0,0,1203,1,1
39263,29,0,2,1,0,596,1,0
5235,34,9,1,1,0,456,1,0
33008,31,9,2,1,0,579,1,1
15714,58,0,1,1,0,1455,1,0
12953,31,7,2,1,0,8,0,0
19252,50,1,1,1,0,616,1,0
7712,47,1,1,0,0,176,1,0
3259,43,1,1,1,0,960,1,0
6101,31,4,1,2,0,91,0,0
13988,46,1,1,0,0,1,1,1
43017,26,10,2,1,0,632,0,0
6807,40,4,1,2,0,384,0,0
35874,46,0,0,1,0,-637,1,0
24749,57,6,1,2,0,894,1,0
43069,33,4,1,2,0,2213,0,0
2194,48,9,0,1,0,164,1,0
32883,34,2,1,0,0,165,1,0
19987,57,4,1,2,0,1963,0,1
9116,37,9,2,1,0,0,0,0
40857,44,6,0,2,0,1070,1,0
3841,57,3,1,0,0,260,1,0
34963,30,9,2,2,0,3,1,0
40541,48,7,1,1,0,127,0,0
14649,51,2,1,1,0,-799,0,1
43604,60,9,1,1,0,2389,1,1
43812,37,4,1,2,0,1967,1,0
33053,58,5,1,0,0,1351,1,0
21637,49,0,1,2,0,8413,0,0
13090,26,0,2,1,0,-35,0,1
31856,38,9,1,2,0,206,0,0
17273,55,5,1,1,0,1126,1,0
28954,37,10,1,0,0,941,0,0
38282,33,1,1,0,0,1138,1,1
36740,32,1,2,1,0,235,1,0
18458,57,5,1,1,0,1354,0,0
11725,44,7,1,1,0,522,0,1
18436,54,4,1,2,0,12,0,0
2207,48,1,2,0,0,396,1,0
18561,39,1,1,0,0,532,1,0
27456,44,4,1,2,0,-692,0,1
28248,57,10,1,0,0,2743,0,0
34118,39,3,1,2,0,2990,0,0
15815,46,3,1,0,0,201,1,0
31596,39,7,0,1,0,-152,1,0
38417,34,9,2,1,0,194,1,1
24757,36,6,2,1,0,15,0,0
6772,29,4,2,2,0,5980,1,0
8175,30,9,1,1,0,854,1,0
12398,56,1,1,0,0,0,0,0
38580,37,0,1,1,0,-557,1,1
30387,38,1,2,0,0,3132,0,0
7455,40,1,0,3,0,1171,1,0
6662,25,0,2,1,0,4590,1,0
32867,30,1,1,1,0,658,1,0
14195,37,4,1,2,0,3841,0,0
4642,39,7,1,1,0,1438,1,0
2235,24,8,2,2,0,1535,1,0
28940,42,1,1,1,0,1288,1,0
26154,30,9,2,1,0,458,0,0
43293,25,8,2,3,0,839,0,0
35718,31,1,1,1,0,8,1,0
24389,34,4,2,2,0,621,1,0
24871,59,1,1,0,0,14,1,1
30983,44,6,1,1,0,304,1,0
12220,53,1,1,3,0,-491,1,0
44021,31,1,2,1,0,54,1,0
27640,47,1,1,0,0,3451,0,1
26157,40,1,1,1,0,1039,1,0
36859,45,9,1,0,0,-158,1,0
22619,30,4,0,2,0,0,0,0
31579,38,9,1,1,0,751,1,0
11756,38,4,1,3,0,933,0,0
13259,28,4,2,2,0,1252,1,1
1212,36,1,2,0,0,49,1,0
20230,31,9,2,2,0,3194,0,0
3602,52,1,1,1,0,2206,1,0
4732,32,1,1,1,0,2561,1,0
2523,24,1,2,3,0,11,1,0
16935,30,0,1,1,0,60,0,1
13470,55,1,1,0,0,283,0,1
41767,54,4,1,2,0,2216,1,0
27975,45,1,1,2,0,47,1,0
1144,36,7,2,1,0,248,1,0
23376,38,3,1,0,0,3918,0,0
45194,59,4,1,2,0,138,1,1
42594,33,0,0,1,0,212,1,0
43529,61,5,1,1,0,483,0,0
31247,54,4,1,2,0,446,0,0
2195,31,1,2,0,0,985,1,0
19931,33,9,1,1,0,1264,0,1
115,44,1,1,1,0,144,1,0
5907,24,9,2,1,0,-256,1,0
31082,47,2,1,2,0,0,0,0
36425,31,2,1,1,0,162,1,1
35158,30,7,1,1,0,0,1,0
12983,46,1,1,0,0,14,0,0
31987,35,4,2,2,0,1599,1,1
36263,33,1,1,1,0,2366,1,0
4356,27,7,2,1,0,4923,1,0
42388,33,9,1,2,0,8023,0,0
21032,50,7,1,1,0,961,0,1
977,33,4,2,2,0,54,0,0
38573,32,1,0,1,0,201,1,0
16671,37,4,0,0,1,0,1,0
17449,26,10,2,2,0,102,0,0
31360,26,6,2,2,0,657,0,1
43569,76,6,1,3,0,4984,0,0
2942,52,2,1,2,0,618,1,1
4216,28,2,2,3,0,1306,1,0
24684,36,1,1,1,0,0,1,0
43666,78,5,1,0,0,832,0,0
22735,30,4,2,2,0,171,0,0
26481,33,0,2,1,0,-281,1,1
27351,39,4,1,2,0,1654,0,1
20463,58,9,1,1,0,1463,1,0
25517,51,9,1,1,0,113,0,0
13518,55,5,1,2,0,101,1,0
19553,40,9,2,1,0,153,0,0
43817,45,9,1,1,0,1831,0,0
4563,32,1,2,0,0,1660,0,0
40387,45,9,1,1,0,315,1,0
24422,55,2,0,2,0,1730,0,0
419,33,9,1,1,1,72,1,0
34003,42,4,1,2,0,6060,1,0
26463,34,4,1,2,0,273,1,0
2786,34,9,2,1,0,302,1,0
29692,59,9,1,1,0,1866,0,0
23081,31,6,1,2,0,3220,0,0
28022,39,4,0,2,0,6,1,0
21451,44,9,1,1,0,366,0,1
28630,54,0,1,1,0,263,0,1
29715,45,9,1,1,0,366,0,1
9062,37,6,1,2,0,144,1,0
32490,53,4,1,1,0,51,1,0
14643,51,7,0,1,0,65,0,1
11310,50,10,1,1,0,193,1,0
378,33,4,1,2,0,0,1,0
14650,37,10,2,1,0,1020,1,0
1804,39,5,2,0,0,-79,0,0
9835,49,1,1,0,0,902,0,0
32784,35,1,2,1,0,270,1,0
12426,33,7,1,1,0,740,0,1
34710,30,1,2,1,0,-390,1,0
17071,30,0,2,2,0,33,1,0
19559,57,6,1,1,0,7747,0,0
1073,39,1,2,1,0,29,1,0
19608,30,4,1,2,0,3330,0,0
17663,36,10,1,1,0,-129,1,0
24301,38,2,1,1,0,0,1,1
31068,54,4,1,2,0,2960,1,0
21418,56,1,1,1,0,324,0,0
41295,42,4,1,2,0,294,0,0
22321,47,1,1,1,0,11305,0,0
2277,39,1,1,1,0,23,1,0
24734,40,4,1,2,0,1777,1,0
2901,45,1,1,0,0,246,1,0
4445,35,1,1,1,0,4635,1,0
29907,35,6,1,2,0,7990,1,0
43751,30,9,2,1,0,3144,0,0
4034,46,7,1,1,0,9,0,0
9525,52,5,1,1,0,1956,0,0
16643,51,7,1,0,0,56,0,1
25193,57,4,1,2,0,1357,1,1
2410,41,0,1,1,0,705,1,0
20663,48,7,1,1,0,1355,0,0
22836,55,7,1,0,0,269,0,0
13386,50,9,1,1,0,20,1,0
32947,35,4,1,2,0,451,1,0
27424,34,10,1,1,0,6438,1,0
8413,30,7,1,1,0,227,0,1
6043,34,1,1,0,0,6575,1,0
11776,40,6,0,1,0,1876,0,1
6394,40,0,1,1,0,-666,1,0
43715,26,7,1,1,0,104,0,0
4735,31,1,1,1,0,897,1,0
40551,59,4,1,2,0,281,0,0
15540,30,4,2,2,0,382,1,0
15127,39,1,1,1,0,-99,0,0
41752,21,8,2,1,0,2488,0,0
16146,52,4,1,1,0,-588,1,0
12291,34,9,1,1,0,1,0,1
32163,58,5,0,0,0,2745,0,1
43129,78,5,0,1,0,3219,0,0
43411,39,4,0,2,0,224,0,0
13860,54,0,0,1,0,791,0,1
7550,27,1,1,3,0,-442,1,0
28906,66,3,1,1,0,1929,0,0
11618,45,9,1,2,0,377,1,0
23125,39,9,2,1,0,69,0,0
30736,35,0,0,1,0,183,0,1
29401,54,4,1,2,0,67,1,0
15452,39,4,1,0,0,738,1,1
24026,57,5,1,2,0,42,0,0
9995,49,3,1,0,0,3376,0,0
18909,37,3,1,0,0,2410,0,0
37927,42,7,0,1,0,11177,1,0
24221,57,4,1,2,0,1636,0,0
22884,46,1,1,0,0,185,0,0
27674,34,4,1,2,0,6808,1,0
20093,41,3,1,1,0,13,0,0
11787,49,1,1,0,0,923,0,0
37071,38,7,2,0,0,-87,1,0
23607,32,9,0,1,0,-262,1,0
6769,29,4,2,2,0,-158,1,0
42636,34,1,1,0,0,6718,0,0
24227,47,4,1,2,0,1028,0,1
25664,48,7,2,1,0,2749,0,0
34605,37,0,2,1,0,686,1,0
20983,36,9,1,1,0,2394,0,0
22453,33,4,2,1,0,-298,0,0
35197,30,0,1,2,0,400,1,0
20471,37,4,2,2,0,553,0,0
38010,35,9,1,1,0,650,1,0
25148,34,4,1,2,0,11,1,0
32234,31,9,2,2,0,2530,1,0
16902,34,0,1,1,0,2,1,0
28909,46,4,1,2,0,699,0,0
35254,31,6,1,2,0,259,1,0
17157,26,1,1,0,0,40,0,1
25139,32,4,1,2,0,3442,0,0
8777,21,1,2,1,1,-59,1,1
18527,33,2,2,2,0,99,0,1
19738,32,4,1,2,0,183,1,0
12305,31,10,1,1,0,3242,0,0
844,37,7,2,1,0,-196,1,0
12689,59,2,1,2,0,1728,0,0
24501,32,9,1,1,0,5,1,0
5395,29,0,2,1,0,468,1,1
10805,41,4,1,2,0,1234,0,0
30854,40,4,1,2,0,89,1,1
16139,37,0,1,1,0,2991,1,0
35852,42,4,1,2,0,-1,1,1
3991,24,1,2,1,0,77,1,0
34082,36,4,1,2,0,393,1,0
44340,69,9,1,2,0,482,0,0
37918,40,7,2,1,0,573,1,0
17526,56,5,1,0,0,21,0,0
24572,39,2,1,2,0,2,1,0
36002,34,1,1,0,0,3,1,0
26544,36,4,2,2,0,2032,0,1
23710,44,4,1,2,0,795,0,0
2861,40,6,1,0,0,771,1,0
9746,37,10,2,0,0,1241,0,0
36720,51,1,1,0,0,42,1,0
12852,48,1,1,0,0,14,0,1
24181,35,0,2,1,0,943,0,0
5109,33,7,1,1,0,881,1,0
29951,54,4,1,2,0,7249,1,1
34048,31,4,2,2,0,2915,0,0
42092,28,8,2,2,0,3717,0,0
12561,35,9,0,1,0,2,0,0
16066,35,1,1,1,0,162,0,1
14428,53,9,2,2,0,118,0,0
13561,39,1,1,0,0,3324,0,0
25405,42,1,1,1,0,1540,1,1
26172,31,1,1,0,0,347,0,0
35566,45,7,0,1,0,608,1,1
30790,32,8,2,3,0,4110,0,0
30327,28,2,2,2,0,16,0,0
18389,35,1,1,1,0,86,0,0
44355,27,9,2,1,0,842,0,0
10826,39,6,1,1,0,4722,1,0
2742,57,7,2,1,0,2236,1,0
815,45,1,1,0,0,97,1,0
39702,44,4,1,2,0,7818,0,0
38583,34,9,1,1,0,393,1,0
18703,37,6,1,1,0,4153,1,0
32374,47,4,1,1,0,5012,1,0
36353,39,1,0,1,0,0,1,0
5696,37,7,1,0,0,0,1,0
5294,34,1,1,1,0,750,1,0
28150,46,1,1,1,0,120,1,1
29000,26,9,2,1,0,3244,0,0
37098,59,1,0,1,0,61,1,0
20767,56,0,1,3,0,1784,0,0
13941,29,0,1,1,0,795,1,1
43083,44,1,1,0,0,622,1,0
24341,54,0,1,1,0,865,1,0
36767,33,1,1,1,0,1240,1,0
37359,35,6,2,2,0,670,0,1
5160,39,1,1,0,0,568,1,0
26857,41,4,1,2,0,5883,0,0
30198,29,1,2,1,0,0,1,0
40014,44,4,1,2,0,423,0,0
37737,30,1,1,1,0,15,1,1
29055,31,7,2,1,0,469,0,1
39786,49,0,1,1,0,0,0,0
38102,30,7,1,1,0,637,1,0
45196,25,8,2,1,0,358,0,0
35860,56,4,1,2,0,935,1,0
27437,51,4,1,2,0,4,1,0
34849,31,8,2,3,0,2882,1,0
20451,46,10,1,1,0,3533,1,0
37571,44,7,0,1,0,130,1,0
33709,34,7,1,1,0,0,1,0
1266,32,9,2,1,0,10,1,0
16967,48,6,0,2,0,103,0,1
13624,49,10,0,1,0,66,0,0
34393,32,4,2,2,0,2613,0,0
1463,42,5,1,0,0,0,1,0
42673,30,4,2,2,0,536,0,0
2234,27,4,2,2,0,2420,1,0
5142,31,7,2,1,0,629,1,0
11254,46,0,1,1,0,126,0,0
26480,39,4,1,2,0,225,1,0
6734,38,9,0,1,0,1333,1,1
32499,41,9,1,1,0,442,1,1
3805,32,1,1,1,0,1197,1,1
22911,50,4,1,2,0,161,0,0
23421,40,6,1,1,1,2,0,0
4159,48,1,1,1,0,5057,1,0
40167,29,9,2,1,0,5763,0,1
8812,27,9,1,1,0,1103,0,0
8622,38,4,1,2,0,980,0,0
11788,36,4,1,2,0,1355,1,0
4704,58,1,1,0,0,23,1,0
30504,38,3,1,1,0,333,1,0
36758,28,3,2,1,0,1,1,0
40760,46,1,1,1,0,4855,1,0
28694,35,7,2,1,0,49,0,0
43508,74,5,1,2,0,4912,0,0
12904,43,4,1,2,0,1530,0,0
12207,40,1,1,0,0,238,0,0
8294,31,1,1,1,0,-617,1,0
31967,60,4,1,0,0,252,1,1
20368,41,4,1,2,0,0,0,0
39665,34,0,1,1,0,1406,1,0
45135,53,1,1,0,0,1294,0,0
6808,38,9,1,1,0,61,1,0
4300,50,1,1,1,0,170,1,1
27871,38,9,2,1,0,275,1,0
35489,28,9,2,1,0,417,1,1
44560,37,9,1,2,0,341,0,0
27017,48,3,1,0,0,7195,0,0
18054,38,10,2,1,0,223,1,0
11184,54,3,1,0,0,5048,0,0
11645,45,2,1,2,0,0,1,0
44837,35,4,2,2,0,151,0,0
28545,33,7,2,1,0,772,1,0
11411,44,4,1,1,0,11972,0,0
23178,38,9,2,2,0,187,0,0
11783,43,7,2,2,0,126,1,0
1124,29,4,1,2,0,199,1,1
11340,44,7,0,1,0,20541,0,1
753,55,10,1,2,0,383,0,0
22780,34,4,1,2,0,169,0,0
25872,55,4,1,2,0,540,0,0
1607,32,0,0,1,0,281,1,0
2685,53,5,0,2,0,599,1,0
5199,36,1,1,0,0,-402,0,0
10455,47,5,0,0,0,2576,0,0
15245,58,9,1,2,0,1692,1,0
42214,26,4,2,2,0,943,0,0
36877,45,1,1,1,0,3092,1,1
43021,52,4,1,2,0,4675,0,0
35388,36,1,1,1,0,0,1,0
15340,43,4,1,2,0,704,0,0
29212,43,9,2,1,0,257,1,0
22944,35,4,1,2,0,1285,0,0
25340,46,1,1,1,0,922,1,0
41123,67,5,1,0,0,585,0,0
31420,47,4,1,2,0,649,1,0
30356,34,4,2,2,0,0,0,0
8028,35,0,1,1,0,-488,1,0
6342,38,4,2,2,0,16957,1,0
34981,29,9,2,2,0,-803,1,1
2251,40,9,1,1,0,2576,1,1
41106,56,1,1,1,0,241,1,0
1630,53,2,1,1,0,-118,1,0
33718,31,4,2,2,0,354,0,0
6369,53,1,2,3,0,1555,1,0
37691,28,1,1,1,0,373,1,0
10564,47,5,1,2,0,1225,1,1
30023,52,6,1,0,0,314,1,0
12231,40,1,1,1,0,925,1,1
18337,37,1,1,0,0,153,0,1
12353,47,6,1,1,0,0,0,0
38183,49,7,0,0,0,400,1,0
10579,53,3,1,1,0,2406,1,0
11864,41,6,0,2,0,-319,0,0
17439,39,7,1,1,0,823,1,1
27505,53,6,2,1,0,731,0,0
42868,59,3,1,1,0,0,0,0
10492,36,7,1,1,0,5000,0,0
11391,58,1,1,0,0,0,1,0
37771,33,9,2,1,0,716,1,0
45048,32,8,2,2,0,922,0,0
27823,34,11,2,1,0,859,0,0
24660,50,4,0,2,0,299,0,0
21869,42,4,2,2,0,227,0,0
44139,72,5,0,2,0,402,0,0
530,44,1,1,0,0,213,0,0
42935,30,4,1,2,0,1996,0,0
34002,37,10,1,2,0,1851,0,0
44872,30,9,2,1,0,1532,0,0
12850,57,1,1,0,0,282,0,1
26892,46,7,0,1,0,1263,1,0
32479,34,4,2,2,0,872,1,0
9230,44,10,1,0,0,97,1,0
32702,30,1,1,1,0,-6,1,0
28488,58,1,1,1,0,1298,1,0
17249,38,4,1,1,0,1066,1,0
38050,41,10,2,1,0,315,1,0
40638,30,4,2,2,0,685,0,0
1117,50,1,0,0,0,149,1,0
7746,44,9,1,1,0,561,1,0
6655,41,4,1,0,0,-679,1,1
2479,59,4,0,0,0,13308,1,0
23257,51,1,1,1,0,16,1,1
41237,71,5,0,1,0,5584,0,0
21732,41,4,1,2,0,30,0,0
26756,33,1,1,1,0,2994,1,0
41876,46,1,1,2,0,3745,0,0
32164,53,3,1,0,0,2581,0,0
40869,36,4,2,2,0,3850,1,0
10693,55,4,1,2,0,0,0,0
22259,34,4,2,2,0,197,0,1
5688,44,1,1,1,0,-54,1,1
18498,39,4,2,0,0,375,0,0
27628,35,9,2,1,0,1183,1,0
3873,47,9,1,2,0,282,1,0
4487,31,0,2,1,0,160,1,1
42122,29,8,2,3,0,10332,0,0
5118,32,1,1,1,0,920,1,0
22529,60,5,1,1,0,30,0,0
5863,38,9,0,2,0,791,1,0
23084,32,4,2,2,1,5,1,0
36173,40,7,1,1,0,-192,1,0
6691,27,9,2,1,0,2430,1,0
11179,44,1,1,0,0,2791,0,0
30488,64,4,1,2,0,6251,0,0
37558,33,4,1,1,0,-224,1,0
35374,57,5,1,1,0,455,1,0
14784,34,1,2,1,0,855,1,0
27996,58,9,1,1,0,1,0,0
36690,56,1,1,0,0,351,1,0
12601,26,1,1,1,0,128,0,0
29154,33,4,2,2,0,474,1,0
3205,27,7,1,1,0,0,1,0
8710,36,9,2,1,0,7503,1,0
39298,28,0,1,1,0,576,1,1
38377,24,0,2,1,0,926,1,1
12112,49,11,1,2,0,325,0,0
8502,33,7,2,1,0,6531,1,0
41996,66,5,1,0,0,747,0,0
10573,55,1,1,1,0,0,0,0
25360,59,4,1,1,0,7623,1,0
41661,39,4,1,2,0,24,0,0
16518,51,0,1,1,0,52,1,1
9762,51,7,1,1,0,-467,0,0
23444,48,0,1,1,0,844,0,0
31638,47,0,2,1,0,1544,1,0
26774,45,1,1,0,0,5461,1,0
26710,49,7,2,3,0,5095,1,0
43087,59,10,0,1,0,7469,0,0
23720,60,5,1,1,0,4,0,0
39874,52,9,0,1,0,1005,1,0
20760,53,9,1,1,0,230,0,1
31589,44,2,2,2,0,1136,1,1
42168,24,9,1,1,0,556,1,0
6865,34,9,1,1,0,1246,0,0
40118,24,8,2,3,0,1693,0,0
7830,36,1,1,1,0,429,1,0
24375,59,5,1,2,0,135,1,0
13138,27,4,2,2,1,0,0,1
2041,57,4,0,1,0,0,1,1
15991,29,1,1,0,0,-235,1,0
33474,28,10,1,1,0,293,1,0
13505,45,4,1,2,0,4693,0,1
20912,47,9,1,1,0,599,1,0
39663,37,0,1,1,0,1967,0,0
8072,44,2,0,1,0,-143,1,0
10406,56,1,1,1,0,2190,0,1
26565,38,2,1,2,0,1110,1,0
196,38,7,1,1,0,155,1,0
29092,48,7,1,1,0,51,1,1
13789,31,7,1,0,0,46,0,0
13616,29,4,2,2,0,-223,0,1
9830,39,1,1,0,0,0,0,0
6420,29,4,2,1,0,0,1,1
6152,56,1,1,0,0,373,1,0
44350,64,5,1,0,0,12067,0,0
37255,28,3,1,1,1,65,1,1
8606,23,1,2,1,1,-207,1,0
23725,58,1,1,0,0,6762,0,0
14646,39,1,1,1,0,0,1,0
43622,70,5,1,0,0,4982,0,0
43312,51,4,1,2,0,1612,0,0
21608,41,9,1,1,0,-1,0,1
2639,44,1,1,1,0,1340,1,0
